Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】レクステラ(競合ASIN),Japan,ENABLED,JPY,"¥1,500.00",Manual targeting,Dynamic bids - down only,297,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】マリコール（AT）,Japan,ENABLED,JPY,"¥2,000.00",Automatic targeting,Dynamic bids - down only,4531,219,2,2,0.04%,¥210.00,¥42.79,¥105.00,¥21.39,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】シリシアネイルファイル(指名KW・商品TG),Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,5,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】マヘンディ（指名KW）,Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,1372,137,8,5,0.58%,¥685.48,¥337.52,¥85.69,¥67.50,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】ビーバンジョア（指名KW）,Japan,ENABLED,JPY,"¥2,500.00",Manual targeting,Dynamic bids - down only,192,607,3,3,1.56%,¥269.10,¥218.90,¥89.70,¥72.97,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】アンナトゥモール（指名KW）ver2,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,169,13,6,1,3.55%,¥525.33,¥1.30,¥87.56,¥1.30,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】ミューフル（AT）,Japan,ENABLED,JPY,"¥3,500.00",Automatic targeting,Dynamic bids - down only,4220,2211,2,1,0.05%,¥160.00,¥71.50,¥80.00,¥71.50,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】レクステラ（指名KW）,Japan,ENABLED,JPY,"¥2,500.00",Manual targeting,Dynamic bids - down only,261,540,1,3,0.38%,¥45.50,"¥1,888.06",¥45.50,¥629.35,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】水素バス (競合ASIN),Japan,ENABLED,JPY,"¥4,500.00",Manual targeting,Dynamic bids - down only,2839,,8,,0.28%,¥512.12,,¥64.02,¥0.00,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】ソーダスパークル（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,175,,1,,0.57%,¥72.71,,¥72.71,¥0.00,0,0.00%,0,¥0.00
"Jan 05, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体（指名KW）ver2,Japan,ENABLED,JPY,"¥7,000.00",Manual targeting,Dynamic bids - down only,3655,1947,16,8,0.44%,¥814.94,¥461.92,¥50.93,¥57.74,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】マリコール（AT）,Japan,ENABLED,JPY,"¥2,000.00",Automatic targeting,Dynamic bids - down only,2849,130,2,0,0.07%,¥220.00,¥0.00,¥110.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体 (競合ASIN),Japan,ENABLED,JPY,"¥3,500.00",Manual targeting,Dynamic bids - down only,1804,,11,,0.61%,¥587.93,,¥53.45,¥0.00,1,9.83%,10.17,"¥5,982.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】HINアクネスラボ（指名KW）,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,81,1,1,0,1.24%,¥264.00,¥0.00,¥264.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ソネット（指名KW）,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,2982,274,6,3,0.20%,¥343.65,¥150.95,¥57.27,¥50.32,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】他ASIN（AT）,Japan,ENABLED,JPY,"¥5,000.00",Automatic targeting,Dynamic bids - down only,6879,1922,86,9,1.25%,¥860.23,¥352.11,¥10.00,¥39.12,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】グリーンノートヘナ（AT）,Japan,ENABLED,JPY,"¥8,000.00",Automatic targeting,Dynamic bids - down only,18967,10644,15,20,0.08%,¥635.53,"¥1,266.68",¥42.37,¥63.33,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】水素バス（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,3847,222,25,5,0.65%,"¥3,173.24",¥724.28,¥126.93,¥144.86,1,205.39%,0.49,"¥1,545.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ソーダスパークル（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,116,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】シリシアネイルファイル(指名KW・商品TG),Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,3,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】アンナトゥモール（指名KW）ver2,Japan,ENABLED,JPY,"¥1,000.00",Manual targeting,Dynamic bids - down only,283,5,0,0,0.00%,¥0.00,¥0.00,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ミューフル（指名KW）ver2,Japan,ENABLED,JPY,"¥5,000.00",Manual targeting,Dynamic bids - down only,648,303,13,1,2.01%,"¥1,859.30",¥1.30,¥143.02,¥1.30,1,28.69%,3.49,"¥6,481.00"
