day,orders,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales,net_quantity,ordered_item_quantity
2025-01-10,3,16488.000,-1548.000,-1218.000,13722.000,0.000,0.000,0.000,1272.000,14994.000,5,6
2025-01-11,3,12959.000,-432.000,0.000,12527.000,0.000,0.000,0.000,1253.000,13780.000,9,9
2025-01-12,7,12958.000,-288.000,0.000,12670.000,0.000,0.000,0.000,1268.000,13938.000,9,9
2025-01-13,7,24504.000,-1800.000,0.000,22704.000,0.000,0.000,0.000,2272.000,24976.000,12,12
2025-01-14,8,21458.000,-1668.000,0.000,19790.000,660.000,0.000,0.000,1980.000,22430.000,16,16
2025-01-15,7,20409.000,-856.000,0.000,19553.000,0.000,0.000,0.000,1955.000,21508.000,14,14
2025-01-16,3,10486.000,-684.000,0.000,9802.000,0.000,0.000,0.000,981.000,10783.000,5,5
